word1,op1,word2,op2,word3,skipgram_ns_word,skipgram_hs_word,cbow_ns_word,cbow_hs_word
rotate,,uss,,albania,departed,departed,minted,anecdotal
humber,,perils,,lakewood,hodgson,hodgson,obstructions,cerie
alphonso,,åberget,,socks,södra,södra,tous,cosmological
coiner,,digs,,distributions,tyrwhitt,tyrwhitt,relaying,thao
charted,,merging,,singles,thorny,thorny,jayatilleke,sylvanus
griesemer,,withdraws,,tunneling,chaffetz,chaffetz,mortimer,indistinct
katra,,workouts,,arm,loanword,loanword,1843,reunification
morphemes,,verso,,specialise,suba,suba,futurama,weitz
connelly,,reagent,,codons,oates,oates,irrevocable,mulligan
chattanooga,,trajan,,pickled,jeckeln,jeckeln,webisode,heinrich
kennington,,wetter,,recess,upland,upland,resettle,nursing
cooing,,helmand,,037,grieg,grieg,professorship,mukai
shallows,,traded,,ceremonial,optioned,optioned,amended,steals
africanus,,shinplasters,,quotas,crassweller,crassweller,polow,jana
newsday,,retina,,segregation,autograph,autograph,sherbrooke,hackers
daddy,,competitions,,1119,tournaments,tournaments,gillson,pun
belmont,,anthochaera,,spy,castanea,castanea,horace,thicknesses
sedimentation,,horrible,,sect,unstoppable,unstoppable,carthaginian,seward
uncompromising,,embraces,,saviour,poignant,poignant,telegraphic,picnic
pleased,,available,,1907,linked,linked,northumbrian,dalglish
pressure,,fagrskinna,,development,voltages,voltages,parishioners,conceals
playthrough,,standardisation,,omloop,étage,étage,portsmouth,newtown
macedonian,,stilianou,,sharps,balkan,balkan,clinicians,grenier
crosses,,tomasevich,,meru,intersects,intersects,ninpo,damning
stiffer,,antebellum,,overseer,orienteering,orienteering,neeson,sisko
emanated,,protocols,,counterattacked,fursuit,fursuit,miley,dawson
arête,,mechanized,,melodramas,sustainment,sustainment,refutes,indivisible
purged,,stars,,allentown,star,star,james,one
rubenstein,,grande,,heavily,ronde,ronde,indigofera,658
giordano,,feeble,,archival,statham,statham,brioni,nonfiction
sinhalese,,bloated,,trodden,dissonant,dissonant,improve,yamasaki
ragnar,,theft,,commemorative,dunant,dunant,befriended,inequality
innovative,,scanning,,283,satiric,satiric,vacuum,interracial
crystal,,confuse,,hours,summon,summon,gompers,canucks
dougray,,pitched,,despuig,threw,threw,slater,overlordship
1152,,catalinas,,overbearing,deadlocked,deadlocked,aptly,savile
fossil,,conglomerates,,reprinting,synthetic,synthetic,4257,longstanding
spanked,,vkj,,eminently,iif,iif,henning,burnu
aplomb,,sorraia,,prevents,blount,blount,ferrying,duchess
paleo,,damn,,475,80s,80s,layer,viaduct
sampy,,ruber,,sainsbury,pepo,pepo,jerking,lw12.2
rectory,,shown,,breyer,seen,seen,coercive,organ
same,,saturdays,,fauchet,depending,depending,song,song
coxon,,cabling,,ensuring,mitovich,mitovich,hastings,arroyo
sedgemoor,,outages,,takeda,landslides,landslides,davidson,inductive
742,,rave,,popstar,636,636,outlaws,habitat
pack,,pwi,,ismail,packs,packs,hey,resist
blum,,fdj,,fences,horne,horne,amato,blessed
tractor,,numbered,,π1,equipped,equipped,context,portia
thatgamecompany,,derivation,,wear,arianna,arianna,survey,aruban
unbearable,,maya,,athleticism,legend,legend,contacting,shower
condoms,,rash,,barricade,latex,latex,xl,saffron
peterhead,,ail,,yen,vnukovo,vnukovo,fdj,enquiry
invaders,,poisonous,,malignant,iroquois,iroquois,bahram,sherman
détente,,sustain,,squirrels,implement,implement,olga,acquired
sturluson,,thermodynamic,,acquired,6f,6f,extends,φ
buckle,,anupama,,professional,shaheed,shaheed,hydrochloric,mugello
harmonize,,pondicherry,,terrance,captors,captors,prokofiev,pronunciations
dividend,,cerebral,,υ,doodle,doodle,alvarez,reneged
laughed,,ijn,,storied,om,om,zeller,bonding
functionally,,gadag,,dem,asymmetric,asymmetric,2018,sverdrup
benn,,delfino,,pugh,cusick,cusick,tessic,zu
mount,,haynes,,hips,f.,f.,lies,bacchanalian
reasonable,,fripp,,mitsuru,meagre,meagre,trigger,rigour
austere,,dyneley,,prices,sabon,sabon,rogan,litres
steels,,orchestrated,,abbot,brewed,brewed,bullied,belgium
enclosed,,tournament,,fairfield,fa,fa,pueblo,government
padmarasa,,rendition,,raviv,hallmark,hallmark,unloaded,inconsistently
beloved,,second,,deserts,fourth,fourth,time,episode
robbers,,refrained,,approximate,ebierbing,ebierbing,stillwater,typically
monticola,,stucco,,sportscaster,flake,flake,ringwald,recklessness
quimby,,harriet,,.38,reverend,reverend,bakula,api
odeon,,downpour,,aerodromes,harte,harte,caustic,rudimentary
dmitry,,throated,,slugging,willaumez,willaumez,changeover,licence
means,,winery,,talents,decree,decree,admirals,nampula
wooden,,minutiae,,shakira,walls,walls,enquired,kaur
alternating,,reshef,,fluctuations,wolfe,wolfe,promotional,galaa
engels,,veal,,riparian,mountford,mountford,kinetic,rediff
interrogating,,scripts,,eolian,script,script,syndicate,crews
subunits,,welcome,,skates,・,・,dowdy,mephisto
budd,,geek,,hyundai,shapiro,shapiro,theatres,furious
1587,,emblems,,jynx,1737,1737,incorporate,fossil
abduction,,daylights,,natalia,assailants,assailants,lad,spillway
fulfil,,landscape,,'oyly,degradation,degradation,mavros,hexafluoride
listing,,londonderry,,hoot,listings,listings,pitched,background
achievements,,osrd,,ste,aspirations,aspirations,lawless,klf
otters,,longer,,hindering,actinium,actinium,giving,cornwallis
generosity,,kamen,,rbi,6f,6f,mbe,938
hickman,,cnidarians,,isthmus,pruett,pruett,onslow,1140
prewar,,ley,,saga,6f,6f,265,haddam
unprofor,,exacted,,folios,uae,uae,paulo,lucca
baan,,1265,,topographic,1566,1566,lionheart,yeltsin
purposely,,interviews,,softball,photos,photos,nominal,lithuanians
laredo,,hapless,,usurping,namibia,namibia,dragonlord,propensity
hydnellum,,atic,,laevigatum,zygoballus,zygoballus,novi,1198
menacing,,himmler,,munro,enghien,enghien,1377,braathens
homelessness,,seemingly,,thalberg,substance,substance,fisheries,shallow
signified,,retrospect,,race,yamaguchi,yamaguchi,discarded,million
tiled,,grouchy,,harshly,boulogne,boulogne,pál,579
majorca,,linkin,,disadvantageous,riverfront,riverfront,prevent,horseback
seabirds,,computation,,raced,agonists,agonists,suspension,angora
casablanca,,michálek,,kidnapper,bisslik,bisslik,dsi,quinto
tyburn,,diarrhea,,congeners,trieste,trieste,eyalet,errand
centerfield,,polarised,,wolfram,tepid,tepid,channeling,pizzas
maki,,cob,,sonate,scotus,scotus,rivalry,shaarey
quasi,,indianapolis,,affectionate,benz,benz,chartered,1203
directors,,bricius,,quichotte,trustees,trustees,finally,salala
mayhew,,shenzhen,,carefully,rinehart,rinehart,buzzards,carpenters
dealerships,,albee,,kinnear,karmal,karmal,hazing,ride
biddenden,,motorsports,,erect,horsfield,horsfield,racist,brainchild
anil,,conrail,,jamming,waldo,waldo,obsessed,refractive
yoshimi,,narrate,,slate,πn,πn,ldh,companionship
bluemantle,,songbird,,filed,rumbula,rumbula,mildly,n64
jynx,,unhindered,,kinda,pyrrhocorax,pyrrhocorax,congratulating,benzema
aspired,,097,,recordings,rightfully,rightfully,recognitions,bot
'connor,,ranches,,oseary,'donnell,'donnell,progress,cuffs
overbearing,,annually,,cargoes,beijing,beijing,nie,nationalistic
encom,,thunderbirds,,pompey,unofficial,unofficial,areas,comparing
britten,,blunders,,vendors,redgrave,redgrave,tufaro,tenuous
grin,,menagerie,,culverhouse,frenetic,frenetic,veal,mardy
sieg,,stances,,aviators,naturelle,naturelle,longhouse,imposition
thunderstorms,,fujiwhara,,tiers,thunderstorm,thunderstorm,mr.,palatial
pastry,,boothstown,,nature,pinewood,pinewood,tract,humidity
stanza,,aeronaves,,taranaki,chapter,chapter,bigotry,car
weeks,,repaired,,1088,months,months,replenish,remain
define,,laramie,,enjoyment,refer,refer,vertebrates,victim
karjakin,,clinically,,fishermen,matthysse,matthysse,possess,secluded
bitter,,santoshi,,beiste,racist,racist,stotler,dooku
subsisted,,minimal,,frenchmen,slight,slight,unwilling,notions
horrendous,,deported,,crater,persecuting,persecuting,prioritized,debuts
teak,,hellfire,,meigetsuki,plating,plating,resorting,spektor
valiente,,gnaeus,,alphonse,murasaki,murasaki,militancy,listens
still,,purring,,primera,usually,usually,your,not
produce,,knowledgeable,,wyoming,create,create,niches,gascony
osborne,,hiker,,579,marriott,marriott,jadow,blaze
compute,,bottling,,hausa,verify,verify,slugs,boiled
catechisms,,sociological,,un,textural,textural,aizen,guadalupe
formidable,,003,,antioxidant,wielding,wielding,crowhurst,evacuees
plays,,counselors,,65,téa,téa,makes,elbe
zhongshan,,mcgovern,,lossiemouth,petersen,petersen,crawled,quakes
arashiro,,attach,,beyond,startle,startle,gmcs,coventry
nickels,,parochial,,authentic,hibbing,hibbing,leyland,inciting
paw,,risking,,hesitation,foothills,foothills,tear,funded
sketch,,forgave,,sai,documentary,photograph,heirs,acknowledge
mean,,apiece,,niš,152,152,specialists,tendered
perspective,,steamboats,,niggers,19th,19th,visayas,disembarking
friedman,,licked,,seaborg,dennings,dennings,crore,myzomela
baptist,,laid,,h.w,semi,semi,t30,genera
vengi,,apply,,alcoholism,reject,reject,diocese,rubi
limantour,,lawsuits,,sshws,petitions,petitions,racehorses,invasions
bandstand,,anonymity,,325th,metalloids,metalloids,ord,tails
skillful,,electroplating,,academies,minoris,minoris,mullet,contrastingly
slumped,,covering,,puma,ministerial,ministerial,castile,octavian
'honneur,,schubert,,arkansas,bnl,bnl,grimmett,nelly
pnt,,targeting,,involve,spigot,spigot,sumerian,intrepidity
felon,,satan,,leroy,emptiness,emptiness,téa,ulterior
somerset,,isosceles,,31st,kent,kent,flat,troll
pratt,,chairwoman,,sos,sportswriter,sportswriter,illyricum,panzers
cravins,,richards,,unfavourably,harding,harding,domoina,kampong
leclerc,,hasel,,m249s,finney,finney,luck,nasdaq
shotgun,,capitalizing,,maori,ticker,ticker,youtube,adulthood
cowie,,paddies,,cooter,christchurch,christchurch,sucking,1890
macy,,salim,,unavoidable,showrunners,showrunners,pear,ibf
kinsman,,reinvented,,outsourcing,susannah,susannah,psittacosauridae,tricky
delivered,,repression,,duopoly,subjected,subjected,feigns,1684
jerky,,dawkins,,zobel,drunkenly,drunkenly,problem,cooperate
1576,,1948,,winhill,1947,1947,oberstleutnant,mentality
brewer,,siraj,,shodan,parry,parry,participates,katušin
develops,,wabd,,z.,developing,developing,grampa,array
serrated,,restigouche,,hacking,amalfi,amalfi,*,survivals
learns,,aware,,juniata,tells,tells,hitch,fett
interviewed,,retrograde,,sole,hospitalized,hospitalized,tilstoni,scolding
frédéric,,ensued,,standstill,guillaume,guillaume,lessons,sanderson
ɪ,,paramedics,,sonia,geri,geri,iberia,kenilworth
claudio,,watten,,plugs,janice,janice,kimmeridgian,bram
braved,,notice,,t1,caution,caution,kiara,gauges
snape,,valentine,,activity,fosdick,fosdick,underside,arch
emo,,genesis,,lisbon,saturn,saturn,wrzos,network
basava,,pf,,leaning,streptococcus,streptococcus,autoharp,ours
colourful,,recur,,monsters,organisational,organisational,hoops,leveled
oxbow,,stortford,,1641,archiepiscopal,archiepiscopal,topographic,anita
piquet,,˚,,reddick,psalm,psalm,physiological,u.s.a.
woodruff,,aviv,,marija,kayaking,kayaking,stefan,papers
margaret,,playa,,reese,felix,felix,kitchee,lagrangian
unsigned,,origen,,alyeska,474,474,unforgiven,forgetting
batou,,bef,,gleba,toit,toit,koh,cambio
forcella,,raycom,,superiority,greil,greil,geographically,worldwide
disgusted,,resurface,,yahoo,ministered,ministered,undated,artillerymen
weeds,,swiatek,,vinaceous,leighton,leighton,acme,elric
justice,,saxophonist,,unbuilt,attorney,attorney,gilts,accusations
100th,,579,,mutinies,562,562,manchester,herbal
shipton,,protocol,,comprehensible,earldom,earldom,vocally,alfa
hassle,,uprisings,,midsection,enclaves,enclaves,color,animalium
subg,,squandering,,sliding,bohemica,bohemica,hairstyle,whipray
stat,,decomposition,,vocals,measles,measles,tallis,mean
hanging,,politiquerias,,triceratops,beheaded,beheaded,thrill,marksmen
271,,bhp,,sphagnum,kcal,kcal,controversially,happenings
kuldahar,,yarder,,metagenome,trenchard,trenchard,inception,despotism
vittorio,,severus,,jeopardised,courbet,courbet,xun,ustinov
longoria,,fanck,,kartikeya,macfarlane,macfarlane,ash,rhode
fez,,openers,,wharton,composited,composited,distracted,damned
dash,,352,,sabbagh,226,226,bongo,shared
sponsoring,,consummated,,unaltered,computerized,computerized,arguments,gusted
fold,,jesse,,branched,sylvester,sylvester,agonistic,cantilevered
luongo,,somalian,,administrative,naughton,naughton,improves,508
enthused,,ominously,,objections,reeder,reeder,armijn,jg
clergymen,,conglomerates,,animalium,militaries,militaries,conveying,subalpine
memoranda,,concrete,,spins,brick,brick,remnant,mushrooms
bas,,brandt,,whitlock,françois,françois,distinguishable,suv
gruff,,telegram,,arid,jeethu,jeethu,considering,suites
harkness,,miners,,baba,miner,miner,blackish,feeding
787,,aum,,ascended,nano,072,salaam,parineeta
dampen,,park,,chancellery,memorial,memorial,hundreds,``
1226,,imply,,ricky,predict,predict,wrong,reedbeds
mrna,,justus,,coats,rajamouli,rajamouli,marc,colin
beli,,starfighter,,planting,gaffney,gaffney,strikes,donned
riggi,,mandibular,,occurring,glynn,glynn,culpable,hiawatha
quorum,,colloquial,,carcharhinus,gracious,gracious,meds,huwaider
constantly,,famously,,clapton,always,always,layton,mcneile
forwards,,abdication,,duets,electorate,electorate,bhima,500
drew,,hiryū,,cossack,gave,gave,imitators,undying
nes,,institutes,,mortgage,understand,understand,biota,canaanite
inexhaustible,,keratin,,tutelage,starspots,starspots,torn,dratch
manipulates,,phanariote,,fresco,accomplishes,accomplishes,haynes,executive
2006gy,,chapman,,cleeve,sparks,sparks,scrappy,rises
zouaves,,bálint,,wendell,cascading,cascading,writings,licking
prose,,12e,,deliver,consonantal,consonantal,complexities,airfield
recommend,,louisbourg,,navigable,urged,urged,carboniferous,indoors
remembers,,forgetting,,frontiersmen,worried,worried,raising,gambler
damages,,greatfoot,,tibetan,injuries,injuries,priscus,accordance
tibet,,collectibles,,koprowski,nubia,nubia,preoccupation,suffers
sayed,,tatum,,sinbad,1185,1185,darwinian,yttrium
clegg,,akbar,,threat,mercado,mercado,corrupted,insolvent
strode,,1740s,,”,tokuyama,tokuyama,mccarthyism,villarreal
dysplasia,,380,,partnerships,co2,co2,endeavour,kpj
team,,guitarists,,nere,teams,teams,during,game
servicemen,,steeper,,mack,distinguishable,distinguishable,gainer,amaze
emanuel,,reykjavík,,annotation,arturo,arturo,heylin,kareha
feed,,consultant,,williamson,sperm,sperm,140th,flats
perkins,,schoolhouse,,booking,loomis,loomis,coma,sunglasses
sorcerers,,yahagi,,greenberg,intruders,intruders,quagmire,ape
presbyterians,,mortgage,,continuance,subarctic,subarctic,directives,kitten
defender,,preschool,,hova,sponsor,sponsor,foc,84
kendal,,todesbanden,,ecosoc,ensconced,ensconced,1931,flowering
chairperson,,passport,,reubens,mortgage,mortgage,263,oerlikon
yaltanack,,hein,,catapulted,vazquez,vazquez,torchwood,nina
adidas,,itzá,,injunction,plainfield,plainfield,1829,cinematic
crane,,owe,,nightstick,miner,miner,troubled,oppose
divisions,,valentin,,unfounded,brigades,brigades,dissuade,cheerfully
cancellation,,bhagavata,,majority,psn,internationalist,dived,$
sheringham,,andrás,,broomloan,denman,denman,faust,kei
weeds,,overseen,,degenerate,constantin,constantin,hofstra,confusion
chrysanthemum,,chapels,,fastest,façades,façades,paucity,mores
tunbridge,,stille,,ungulate,harrow,harrow,matchup,immobile
sanctioning,,chuckle,,inconsistency,importins,importins,colson,obtaining
halle,,stipulates,,progression,siegelman,siegelman,planting,plundering
pittsford,,acadian,,picturesque,maribor,maribor,pedal,kilometre
kuldahar,,jūjutsu,,amphicoelias,lattimore,lattimore,hauptmann,lonesome
curricular,,erin,,hiffernan,smit,smit,anselm,lyme
autovista,,bambaataa,,irrelevant,valeria,valeria,palais,guardhouse
institutional,,bold,,unplanned,experimental,experimental,mindful,rodney
antonius,,nuba,,nonintercourse,och,och,261st,hated
romulans,,actors,,alexandrescu,actresses,actresses,mazar,perfect
numerically,,windermere,,serotonin,armada,armada,minoru,chaff
bodkin,,homotopic,,street,6f,6f,hutch,niño
containing,,overthrow,,elizondo,extract,extract,spare,sanremo
specialising,,geese,,goulian,forestry,forestry,llewelyn,1590
ashworth,,rome,,vatlestraumen,france,france,sequenced,murdoch
lamellerie,,precipices,,sternorrhyncha,biberach,biberach,shaffer,guangwu
unrecorded,,levin,,577,downer,downer,escalators,photographs
liliaceae,,subservient,,weybridge,generalised,generalised,friday,librettos
considerable,,calibrated,,mycorrhizal,total,total,exploitative,beet
300th,,josipović,,florentine,piloting,piloting,deafness,truest
gresham,,password,,breimeier,keyblade,keyblade,aylward,notch
homelessness,,obligation,,fps,obligations,obligations,kermit,mci
millions,,widescreen,,fantastic,baht,baht,reagent,devereux
dreadnoughts,,gorari,,unintelligible,ironclads,ironclads,oblate,establish
treating,,classes,,through,psychology,psychology,kingpin,%
inquieto,,atr,,miscarriage,767,767,gann,rudely
piquet,,fronts,,clams,bitterness,bitterness,newer,fabolous
erratic,,praetor,,neurons,assertive,assertive,distributed,grudge
wbo,,kagoshima,,trofeo,knin,knin,rté,slaveholders
auctions,,uvular,,naegle,adjectives,adjectives,bare,bubble
mach,,rodrigues,,bacchus,millimetre,millimetre,defused,franc
doha,,harold,,wickford,archibald,archibald,92,janeway
covenant,,iau,,access,mongol,mongol,lovell,logistic
cheering,,shrinks,,moisture,commandeered,commandeered,donchery,azzarello
forfeit,,maasai,,aborigines,redirect,redirect,aid,pellet
xavier,,admirable,,glaciated,alison,alison,montcalm,pradesh
027,,hanukkah,,offshore,puranam,puranam,daw,poliomyelitis
commandos,,occupancy,,canopies,jna,jna,71,'reilly
disposal,,wackett,,antonio,spaceflight,spaceflight,islets,reformers
bears,,wwf,,deluxe,canucks,canucks,samar,bridge
elma,,hissing,,konstanty,steeple,steeple,uninterrupted,deceiving
'huez,,symmetry,,meningococcal,tupolev,tupolev,simultaneous,jem
1885,,large,,goldberg,small,small,unk,university
colborne,,dettori,,warblers,riedesel,riedesel,catering,schleswig
ppm,,absurdity,,equalling,lm,lm,ulama,armband
assessors,,nearly,,gamefaqs,almost,almost,freemen,astrologer
dickey,,koror,,panel,nicotine,nicotine,disorganized,lukačević
scrubs,,besides,,britton,moreover,moreover,relinquished,schembechler
montrose,,definite,,guilford,literal,literal,broom,pony
appendicitis,,corporate,,hylogyne,banking,banking,leavitt,hon
haider,,decrypted,,coordination,devolver,devolver,ncmps,mendelssohn
michelena,,marbury,,zola,cabell,cabell,waterhouse,flor
hybridise,,malaysia,,processors,pakistan,pakistan,specialise,21
immensely,,pariah,,sửu,extraordinarily,extraordinarily,harvested,honeydew
limits,,anand,,sedna,ukraine,ukraine,annette,cambodia
lordship,,conservator,,manley,erection,erection,sunshine,viciously
episcopalians,,motomu,,crystarium,ingersoll,ingersoll,militarily,439
rianz,,rao,,marina,sanjeev,sanjeev,cannae,semi
protostars,,unionist,,bowel,republicans,republicans,subversive,intravenously
permitted,,tubing,,ruhlmann,refuse,refuse,battleship,pictorial
injuring,,scourge,,balcatta,wounding,wounding,ravinder,normandy
brian,,identically,,centred,michael,michael,louie,seven
1806,,bessin,,parkway,268,268,garbo,pedestrian
chitinozoans,,fables,,velar,specifics,specifics,mk,gusty
introductions,,strove,,injuring,fibrils,fibrils,colfer,factions
duchies,,indentured,,valiente,repulsing,repulsing,barnett,libido
kernels,,nationalities,,prosecutor,diatomic,diatomic,dalmeny,dictatorship
puebla,,herefordshire,,huron,junimea,junimea,shadowy,bryan
cantonment,,specimens,,sitwell,fossils,fossils,stops,astronomical
enthralled,,liverworts,,stempel,planktonic,planktonic,russians,soup
damages,,cranborne,,reviewers,kyushu,kyushu,copeland,turbidity
ultratip,,industrialists,,wrap,shortland,shortland,underweight,zack
brookshier,,duirinish,,sensations,lerma,lerma,tds,gospić
caracalla,,teepee,,smoked,cwichelm,cwichelm,bully,kray
balk,,ashcroft,,varies,snodin,snodin,fray,obliterated
obscures,,pedestrianised,,bottomed,straightaway,straightaway,terracing,hooligans
paris,,miner,,internationals,thames,thames,mckinley,swahili
